-51 -54 -41 -39 -55 -78 -69 -56 -55 -62 -66 -48 -52 -53 -59 -60
-55 -62 -66 -48 -52 -53 -59 -60 -57 -61 -55 -53 -49 -51 -62 -59
-57 -61 -55 -53 -49 -51 -62 -59 -69 -55 -52 -47 -44 -44 -41 -45
-69 -55 -52 -47 -44 -44 -41 -45 -45 -44 -39 -44 -45 -52 -44 -47
-45 -44 -39 -44 -45 -52 -44 -47 -39 -42 -52 -38 -39 -46 -49 -44
-39 -42 -52 -38 -39 -46 -49 -44 -40 -44 -45 -57 -47 -4 -48 -37
-40 -44 -45 -57 -47 -4 -48 -37 -49 -53 -51 -52 -52 -52 -53 -56
-49 -53 -51 -52 -52 -52 -53 -56 -56 -59 -63 -47 -44 -42 -40 -47
-56 -59 -63 -47 -44 -42 -40 -47 -41 -38 -30 -30 -18 -13 -16 -15
-41 -38 -30 -30 -18 -13 -16 -15 -9 8 12 16 24 26 29 32
-9 8 12 16 24 26 29 32 42 58 90 109 33 13 -25 -39
42 58 90 109 33 13 -25 -39 -128 -43 80 76 50 -16 24 32
-128 -43 80 76 50 -16 24 32 19 32 27 12 18 14 22 20
19 32 27 12 18 14 22 20 14 19 12 18 13 11 15 18
14 19 12 18 13 11 15 18 24 33 110 23 22 22 22 24
24 33 110 23 22 22 22 24 26 23 21 19 14 19 15 20
26 23 21 19 14 19 15 20 26 30 28 33 29 27 34 31
26 30 28 33 29 27 34 31 28 25 25 24 27 27 24 23
28 25 25 24 27 27 24 23 16 16 20 18 16 13 12 7
16 16 20 18 16 13 12 7 1 6 -3 -9 -11 -18 -22 -34
1 6 -3 -9 -11 -18 -22 -34 -49 -52 -72 -108 -79 -85 -80 -62
-49 -52 -72 -108 -79 -85 -80 -62 -54 -59 -60 -47 -48 -51 -37 -32
-54 -59 -60 -47 -48 -51 -37 -32 -21 -19 -8 -6 1 -16 -4 2
-21 -19 -8 -6 1 -16 -4 2 -23 -7 -2 -10 -20 -27 -38 -37
-23 -7 -2 -10 -20 -27 -38 -37 -36 -67 -80 -58 -64 -66 -77 -83
-36 -67 -80 -58 -64 -66 -77 -83 -64 -51 -75 -67 -61 -54 -50 -61
-64 -51 -75 -67 -61 -54 -50 -61 -60 -51 -50 -54 -52 -50 -56 -52
-60 -51 -50 -54 -52 -50 -56 -52 -51 -48 -44 -45 -49 -52 -54 -53
-51 -48 -44 -45 -49 -52 -54 -53 -50 -49 -50 -50 -48 -43 -43 -37
-50 -49 -50 -50 -48 -43 -43 -37 -40 -47 -57 -59 -57 -55 -48 -46
-40 -47 -57 -59 -57 -55 -48 -46 -52 -51 -52 29 29 29 29 29
-52 -51 -52 29 29 29 29 29 29 29 29 29 29 29 29 29
29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
29 29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
29 29 29 29 29 29 29 29 25 24 22 29 26 23 30 27
25 24 22 29 26 23 30 27 22 23 19 20 11 12 6 5
22 23 19 20 11 12 6 5 10 -7 -6 -4 -6 -21 -45 -38
10 -7 -6 -4 -6 -21 -45 -38 -61 -128 -102 -77 -86 -80 -116 -122
-61 -128 -102 -77 -86 -80 -116 -122 -69 -50 -51 -68 -71 -69 -40 -16
-69 -50 -51 -68 -71 -69 -40 -16 -13 -5 -3 -13 -9 -12 -1 5
-13 -5 -3 -13 -9 -12 -1 5 -2 -128 15 4 4 0 -23 -35
-2 -128 15 4 4 0 -23 -35 -43 -30 -24 -27 -54 -83 -45 -62
-43 -30 -24 -27 -54 -83 -45 -62 -47 -46 -48 -49 -44 -46 -59 -57
-47 -46 -48 -49 -44 -46 -59 -57 -45 -47 -50 -47 -44 -42 -40 -39
-45 -47 -50 -47 -44 -42 -40 -39 -41 -41 -38 -46 -41 -39 -36 -39
-41 -41 -38 -46 -41 -39 -36 -39 -33 -31 -41 -50 -49 -45 -44 -43
-33 -31 -41 -50 -49 -45 -44 -43 -44 -41 -47 -41 -39 -39 -41 -42
-44 -41 -47 -41 -39 -39 -41 -42 -35 -44 -42 -43 -41 -45 -35 -39
-35 -44 -42 -43 -41 -45 -35 -39 -37 -35 -41 -43 -45 -43 -41 -40
-37 -35 -41 -43 -45 -43 -41 -40 -42 -41 -41 -41 -44 -43 -19 -37
-42 -41 -41 -41 -44 -43 -19 -37 -37 -38 -40 -45 -45 -46 -47 -50
-37 -38 -40 -45 -45 -46 -47 -50 -52 -51 -43 -43 -37 -46 -45 -42
-52 -51 -43 -43 -37 -46 -45 -42 -37 -28 -24 -23 -23 -16 -16 -13
-37 -28 -24 -23 -23 -16 -16 -13 -5 -5 1 3 13 18 24 22
-5 -5 1 3 13 18 24 22 30 34 38 49 66 111 75 -33
30 34 38 49 66 111 75 -33 -50 0 -116 -43 0 61 54 15
-50 0 -116 -43 0 61 54 15 65 2 20 27 20 21 10 21
65 2 20 27 20 21 10 21 16 21 16 17 21 16 22 14
16 21 16 17 21 16 22 14 20 22 22 21 18 16 19 19
20 22 22 21 18 16 19 19 18 17 22 20 19 17 21 23
18 17 22 20 19 17 21 23 19 19 18 23 22 14 17 23
19 19 18 23 22 14 17 23 24 21 25 26 21 20 10 22
24 21 25 26 21 20 10 22 13 23 21 22 20 22 27 23
13 23 21 22 20 22 27 23 20 14 17 20 17 9 13 6
20 14 17 20 17 9 13 6 9 1 7 -52 -89 -103 -99 -79
9 1 7 -52 -89 -103 -99 -79 -102 -104 -75 -67 -54 -53 -55 -55
-102 -104 -75 -67 -54 -53 -55 -55 -52 -47 -35 -23 -21 -24 -17 -12
-52 -47 -35 -23 -21 -24 -17 -12 -28 -6 -27 -69 -23 -9 5 9
-28 -6 -27 -69 -23 -9 5 9 -4 -7 -8 -11 -25 -16 -30 -27
-4 -7 -8 -11 -25 -16 -30 -27 -22 -27 -25 -34 -48 -54 -50 -45
-22 -27 -25 -34 -48 -54 -50 -45 -41 -57 -53 -61 -51 -38 -35 -43
-41 -57 -53 -61 -51 -38 -35 -43 -44 -42 -40 -42 -42 -43 -43 -43
-44 -42 -40 -42 -42 -43 -43 -43 -43 -40 -41 -39 -27 -41 -40 -37
-43 -40 -41 -39 -27 -41 -40 -37 -41 -41 -39 -41 -40 -40 -39 -40
-41 -41 -39 -41 -40 -40 -39 -40 -36 -38 -38 -38 -38 -41 -40 -50
-36 -38 -38 -38 -38 -41 -40 -50 -47 -37 -40 -45 -46 -26 -11 -28
-47 -37 -40 -45 -46 -26 -11 -28 -38 -38 -38 -40 -37 -42 -43 -44
-38 -38 -38 -40 -37 -42 -43 -44 -46 -48 -44 -49 -51 -46 -46 -44
-46 -48 -44 -49 -51 -46 -46 -44 -51 -49 -45 -46 -31 -33 -29 -23
-51 -49 -45 -46 -31 -33 -29 -23 -21 -14 -9 -2 -5 -4 5 8
-21 -14 -9 -2 -5 -4 5 8 9 14 24 26 28 38 44 -40
9 14 24 26 28 38 44 -40 -65 -27 -108 -39 27 53 20 -2
-65 -27 -108 -39 27 53 20 -2 3 13 8 10 14 9 7 9
3 13 8 10 14 9 7 9 10 10 13 6 7 8 9 10
10 10 13 6 7 8 9 10 11 12 12 12 13 13 13 15
11 12 12 12 13 13 13 15 13 18 16 17 19 18 20 16
13 18 16 17 19 18 20 16 18 17 19 26 22 24 21 12
18 17 19 26 22 24 21 12 19 25 16 17 19 15 20 15
19 25 16 17 19 15 20 15 34 33 19 16 21 23 23 20
34 33 19 16 21 23 23 20 19 20 20 17 21 21 13 6
19 20 20 17 21 21 13 6 17 21 10 6 26 35 41 12
17 21 10 6 26 35 41 12 3 -28 3 -31 -103 -64 2 -67
3 -28 3 -31 -103 -64 2 -67 -57 -88 -68 -62 -55 -68 -64 -55
-57 -88 -68 -62 -55 -68 -64 -55 -68 -68 -70 -79 -72 -57 -45 -49
-68 -68 -70 -79 -72 -57 -45 -49 -62 -52 -58 -64 -61 -51 -51 -50
-62 -52 -58 -64 -61 -51 -51 -50 -48 -58 -59 -48 -54 -56 -52 -39
-48 -58 -59 -48 -54 -56 -52 -39 -36 -77 -63 -54 -51 -45 -43 -46
-36 -77 -63 -54 -51 -45 -43 -46 -40 -41 -40 -32 -28 -27 -40 -36
-40 -41 -40 -32 -28 -27 -40 -36 -38 -47 -48 -45 -46 -45 -42 -41
-38 -47 -48 -45 -46 -45 -42 -41 -31 -36 -38 -36 -38 -40 -38 -40
-31 -36 -38 -36 -38 -40 -38 -40 -43 -42 -39 -38 -40 -39 -38 -37
-43 -42 -39 -38 -40 -39 -38 -37 -37 -39 -39 -37 -38 -40 -38 -37
-37 -39 -39 -37 -38 -40 -38 -37 -39 -38 -41 -34 -33 -43 -37 -36
-39 -38 -41 -34 -33 -43 -37 -36 -40 -41 -40 -15 -32 -34 -33 -32
-40 -41 -40 -15 -32 -34 -33 -32 -41 -45 -44 -48 -49 -54 -56 -61
-41 -45 -44 -48 -49 -54 -56 -61 -57 -43 -42 -43 -44 -32 -23 -22
-57 -43 -42 -43 -44 -32 -23 -22 -9 -9 0 -3 -1 2 1 9
-9 -9 0 -3 -1 2 1 9 13 22 25 26 29 35 39 61
13 22 25 26 29 35 39 61 114 93 28 -9 -19 -29 -98 -76
114 93 28 -9 -19 -29 -98 -76 70 63 -20 0 4 5 11 9
70 63 -20 0 4 5 11 9 3 6 7 7 8 4 5 7
3 6 7 7 8 4 5 7 7 5 4 3 2 7 5 4
7 5 4 3 2 7 5 4 7 7 7 7 7 8 8 8
7 7 7 7 7 8 8 8 7 8 8 6 6 8 12 9
7 8 8 6 6 8 12 9 12 14 18 26 14 34 30 7
12 14 18 26 14 34 30 7 0 16 18 17 -1 -3 39 14
0 16 18 17 -1 -3 39 14 25 32 42 10 12 21 24 19
25 32 42 10 12 21 24 19 19 19 11 6 13 7 20 21
19 19 11 6 13 7 20 21 2 3 0 -12 -21 -48 -49 -62
2 3 0 -12 -21 -48 -49 -62 -79 -68 -68 -66 -50 -40 -38 -27
-79 -68 -68 -66 -50 -40 -38 -27 -20 -24 -17 21 20 -10 -15 -26
-20 -24 -17 21 20 -10 -15 -26 -18 -11 -21 -39 -30 -45 -48 -46
-18 -11 -21 -39 -30 -45 -48 -46 -56 -67 -70 -41 -12 -21 -49 -68
-56 -67 -70 -41 -12 -21 -49 -68 -66 -78 -70 -67 -79 -76 -60 -51
-66 -78 -70 -67 -79 -76 -60 -51 -52 -60 -69 -48 -41 -31 -26 -42
-52 -60 -69 -48 -41 -31 -26 -42 -38 -36 -26 -4 -54 -61 -40 -43
-38 -36 -26 -4 -54 -61 -40 -43 -40 -46 -46 -44 -44 -39 -42 -42
-40 -46 -46 -44 -44 -39 -42 -42 -38 -38 -37 -40 -39 -40 -44 -46
-38 -38 -37 -40 -39 -40 -44 -46 -50 -49 -47 -42 -44 -37 -36 -39
-50 -49 -47 -42 -44 -37 -36 -39 -38 -40 -42 -42 -44 -43 -37 -40
-38 -40 -42 -42 -44 -43 -37 -40 -38 -33 -43 -41 -41 -34 -35 -41
-38 -33 -43 -41 -41 -34 -35 -41 -41 -37 -45 -49 -46 -46 -51 -52
-41 -37 -45 -49 -46 -46 -51 -52 -47 -48 -51 -51 -43 -48 -46 -38
-47 -48 -51 -51 -43 -48 -46 -38 -29 -19 -16 -10 -7 -6 -7 0
-29 -19 -16 -10 -7 -6 -7 0 2 7 20 22 31 31 34 44
2 7 20 22 31 31 34 44 54 93 127 57 21 -73 -65 -128
54 93 127 57 21 -73 -65 -128 -92 31 56 29 -6 17 12 10
-92 31 56 29 -6 17 12 10 19 15 15 19 11 14 13 19
19 15 15 19 11 14 13 19 20 14 14 12 20 13 17 16
20 14 14 12 20 13 17 16 15 16 18 21 23 19 11 9
15 16 18 21 23 19 11 9 9 11 14 15 17 19 21 25
9 11 14 15 17 19 21 25 11 15 20 20 22 23 18 18
11 15 20 20 22 23 18 18 18 18 18 10 10 24 15 24
18 18 18 10 10 24 15 24 27 26 26 26 -12 -20 -49 -73
27 26 26 26 -12 -20 -49 -73 -60 -74 -110 -101 -101 -75 -70 -51
-60 -74 -110 -101 -101 -75 -70 -51 -77 -63 -58 -56 -53 -47 -52 -55
-77 -63 -58 -56 -53 -47 -52 -55 -50 -55 -52 -49 -51 -51 -54 -57
-50 -55 -52 -49 -51 -51 -54 -57 -51 -50 -38 -32 -34 -24 -18 -23
-51 -50 -38 -32 -34 -24 -18 -23 -53 -65 -4 26 -8 -4 -5 -3
-53 -65 -4 26 -8 -4 -5 -3 -20 -17 -18 -34 -31 -25 -30 -32
-20 -17 -18 -34 -31 -25 -30 -32 -31 -32 -37 -45 -52 -55 -45 -49
-31 -32 -37 -45 -52 -55 -45 -49 -53 -58 -75 -72 -66 -53 -57 -55
-53 -58 -75 -72 -66 -53 -57 -55 -55 -50 -47 -41 -44 -43 -42 -42
-55 -50 -47 -41 -44 -43 -42 -42 -44 -40 -42 -43 -45 -45 -41 -41
-44 -40 -42 -43 -45 -45 -41 -41 -35 -37 -41 -41 -41 -41 -42 -41
-35 -37 -41 -41 -41 -41 -42 -41 -40 -46 -44 -40 -42 -39 -35 -42
-40 -46 -44 -40 -42 -39 -35 -42 -44 -40 -31 -39 -39 -40 -38 -42
-44 -40 -31 -39 -39 -40 -38 -42 -42 -45 -49 -50 -56 -56 -58 -51
-42 -45 -49 -50 -56 -56 -58 -51 -46 -40 -42 -47 -32 -39 -33 -25
-46 -40 -42 -47 -32 -39 -33 -25 -21 -18 -20 -17 -8 -5 1 4
-21 -18 -20 -17 -8 -5 1 4 11 21 24 29 27 36 44 78
11 21 24 29 27 36 44 78 108 77 42 -87 58 -64 -128 -44
108 77 42 -87 58 -64 -128 -44 52 58 6 -14 -6 10 18 14
52 58 6 -14 -6 10 18 14 14 10 10 16 23 5 5 12
14 10 10 16 23 5 5 12 13 19 15 10 11 27 15 23
13 19 15 10 11 27 15 23 14 22 16 15 18 17 22 16
14 22 16 15 18 17 22 16 13 15 12 19 20 20 20 21
13 15 12 19 20 20 20 21 18 18 15 17 23 18 10 13
18 18 15 17 23 18 10 13 14 14 13 15 12 17 16 21
